Term name	P-D Coefficient
1-hydroxy-2-oxolimonene 1,2-monooxygenase activity	0.000
alkene monooxygenase activity	0.000
toluene 2-monooxygenase activity	0.000
carbon disulfide oxygenase activity	0.000
chlorophenol 4-monooxygenase activity	0.000
6-hydroxy-3-methyl-2-oxo-1,2-dihydroquinoline 6-monooxygenase activity	0.000
dibenzothiophene monooxygenase activity	0.000
xylene monooxygenase activity	0.000
toluene 4-monooxygenase activity	0.000
1-hydroxy-2-naphthoate hydroxylase activity	0.000
alpha-pinene monooxygenase [NADH] activity	0.000
dimethyl sulfide monooxygenase activity	0.000
4-nitrophenol 4-monooxygenase activity	0.000
phenylacetate hydroxylase activity	0.000
3,5-xylenol methylhydroxylase activity	0.000
4-nitrophenol 2-monooxygenase activity	0.000
vanillate monooxygenase activity	0.000
4-chlorobenzaldehyde oxidase activity	0.000
flavonoid 3'-monooxygenase activity	0.000
trans-cinnamate 4-monooxygenase activity	0.000
methane monooxygenase activity	0.000
(+)-abscisic acid 8'-hydroxylase activity	0.000
zeaxanthin epoxidase [overall] activity	0.000
3-(3-hydroxyphenyl)propionate hydroxylase activity	0.000
nitric-oxide synthase activity	0.000
squalene monooxygenase activity	0.000
kynurenine 3-monooxygenase activity	0.000
N,N-dimethylaniline monooxygenase activity	0.000
calcidiol 1-monooxygenase activity	0.000
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of one atom of oxygen (internal monooxygenases or internal mixed function oxidases)	0.000
7-hydroxy-chlorophyllide a oxygenase activity	0.000
chlorophyllide a oxygenase activity	0.000
apo-beta-carotenoid-14',13'-dioxygenase activity	0.000
Watasenia-luciferin 2-monooxygenase activity	0.000
tryptophan 2-monooxygenase activity	0.000
Renilla-luciferin 2-monooxygenase activity	0.000
phenylalanine 2-monooxygenase activity	0.000
lysine 2-monooxygenase activity	0.000
lactate 2-monooxygenase activity	0.000
Cypridina-luciferin 2-monooxygenase activity	0.000
arginine 2-monooxygenase activity	0.000
L-lysine 6-monooxygenase (NADPH) activity	0.000
Photinus-luciferin 4-monooxygenase (ATP-hydrolyzing) activity	0.000
hexadecyltrimethylammonium chloride monooxygenase activity	0.000
isooctane monooxygenase activity	0.000
6-hydroxy-2-mercaptobenzothiazole monooxygenase activity	0.000
2-mercaptobenzothiazole monooxygenase activity	0.000
Oplophorus-luciferin 2-monooxygenase activity	0.000
nitronate monooxygenase activity	0.000
chlorophyllide a oxygenase [overall] activity	0.000
carotene beta-ring hydroxylase activity	0.000
25-hydroxycholecalciferol-24-hydroxylase activity	0.000
retinoic acid 4-hydroxylase activity	0.000
naphthalene hydroxylase activity	0.000
testosterone 6-beta-hydroxylase activity	0.000
ecdysteroid 2-hydroxylase activity	0.000
ecdysteroid 22-hydroxylase activity	0.000
ecdysteroid 25-hydroxylase activity	0.000
cholesterol 26-hydroxylase activity	0.000
steroid 22-alpha hydroxylase activity	0.000
sterol 12-alpha-hydroxylase activity	0.000
testosterone 16-alpha-hydroxylase activity	0.000
testosterone 15-alpha-hydroxylase activity	0.000
steroid 7-alpha-hydroxylase activity	0.000
cholesterol monooxygenase (side-chain-cleaving) activity	0.000
cholesterol 7-alpha-monooxygenase activity	0.000
steroid 21-monooxygenase activity	0.000
steroid 17-alpha-monooxygenase activity	0.000
steroid 11-beta-monooxygenase activity	0.000
ecdysone 20-monooxygenase activity	0.000
arachidonic acid 11,12-epoxygenase activity	0.000
arachidonic acid 14,15-epoxygenase activity	0.000
coumarin 7-hydroxylase activity	0.000
dihydropterin oxidase activity	0.000
alpha-ketoacid dehydrogenase activity	0.000
N-ethylammeline chlorohydrolase activity	0.000
UDP-L-rhamnose synthase activity	0.000
alpha-humulene synthase activity	0.000
(-)-E-beta-caryophyllene synthase activity	0.000
sabinene synthase activity	0.000
gamma-tocopherol cyclase activity	0.000
delta-tocopherol cyclase activity	0.000
purine imidazole-ring cyclase activity	0.000
geranyl-diphosphate cyclase activity	0.000
D-glutamate cyclase activity	0.000
cytidylate cyclase activity	0.000
carboxy-cis,cis-muconate cyclase activity	0.000
glycosylphosphatidylinositol diacylglycerol-lyase activity	0.000
allene-oxide cyclase activity	0.000
lycopene beta cyclase activity	0.000
lycopene epsilon cyclase activity	0.000
cyclic 2,3-diphosphoglycerate synthetase activity	0.000
halimadienyl-diphosphate synthase activity	0.000
squalene cyclase activity	0.000
squalene-hopene cyclase activity	0.000
tetrahymanol cyclase activity	0.000
FAD-AMP lyase (cyclizing) activity	0.000
solanapyrone synthase activity	0.000
tocopherol cyclase activity	0.000
adenylate cyclase activity	0.000
calcium- and calmodulin-responsive adenylate cyclase activity	0.000
RNA-3'-phosphate cyclase activity	0.000
site-specific recombinase activity	0.000
quinolinate synthetase A activity	0.000
integrase activity	0.000
tyrosine-based site-specific recombinase activity	0.000
prophage integrase activity	0.000
Hub1 activating enzyme activity	0.000
URM1 activating enzyme activity	0.000
ISG15 activating enzyme activity	0.000
NEDD8 activating enzyme activity	0.000
FAT10 activating enzyme activity	0.000
APG8 activating enzyme activity	0.000
APG12 activating enzyme activity	0.000
amylo-alpha-1,6-glucosidase activity	0.000
4-alpha-glucanotransferase activity	0.000
tRNA (adenine-C2-)-methyltransferase activity	0.000
low affinity IgA receptor activity	0.000
high affinity IgA receptor activity	0.000
aminoacyl-tRNA editing activity	0.000
Cys-tRNA(Pro) hydrolase activity	0.000
Ala-tRNA(Pro) hydrolase activity	0.000
Ser-tRNA(Ala) hydrolase activity	0.000
steroid receptor RNA activator RNA binding	0.000
G-quadruplex RNA binding	0.000
4-amino-5-hydroxymethyl-2-methylpyrimidine diphosphatase activity	0.000
interleukin-33 receptor activity	0.000
interleukin-33 binding	0.000
interleukin-33 receptor binding	0.000
polyprenyltransferase activity	0.000
rubber cis-polyprenylcistransferase activity	0.000
4-hydroxybenzoate nonaprenyltransferase activity	0.000
1,4-dihydroxy-2-naphthoate octaprenyltransferase activity	0.000
(S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase activity	0.000
4-hydroxybenzoate octaprenyltransferase activity	0.000
4-hydroxybenzoate decaprenyltransferase activity	0.000
nucleobase binding	0.000
pyrimidine nucleobase binding	0.000
thymine binding	0.000
uracil binding	0.000
cytosine binding	0.000
purine nucleobase binding	0.000
guanine binding	0.000
adenine binding	0.000
opsin binding	0.000
protease binding	0.000
retinoic acid binding	0.000
G-protein alpha-subunit binding	0.000
alpha-1,3-galactosyltransferase activity	0.000
heparan sulfate proteoglycan binding	0.000
chondroitin sulfate proteoglycan binding	0.000
glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity	0.000
deoxyribonucleoside binding	0.000
pyrimidine deoxyribonucleoside binding	0.000
purine deoxyribonucleoside binding	0.000
lipoarabinomannan receptor activity	0.000
polysaccharide receptor activity	0.000
(1->3)-beta-D-glucan receptor activity	0.000
pattern binding	0.000
polysaccharide binding	0.000
arabinogalactan binding	0.000
alpha-D-glucan binding	0.000
inulin binding	0.000
(1->4)-beta-D-galactan binding	0.000
(1->6)-beta-D-glucan binding	0.000
(1->3),(1->4)-beta-glucan binding	0.000
starch binding	0.000
glycogen binding	0.000
pullulan binding	0.000
mannan binding	0.000
xylan binding	0.000
arabinoxylan binding	0.000
galacturonan binding	0.000
pectin binding	0.000
cellulose binding	0.000
heteropolysaccharide binding	0.000
galactomannan binding	0.000
glucomannan binding	0.000
(1->3)-beta-D-glucan binding	0.000
lipoarabinomannan binding	0.000
complement component C3d receptor activity	0.000
complement component C3dg receptor activity	0.000
complement component C5a binding	0.000
complement component C3d binding	0.000
complement component C3dg binding	0.000
complement component C3a binding	0.000
opsonin receptor activity	0.000
pentraxin receptor activity	0.000
neuronal pentraxin receptor activity	0.000
complement component C5a receptor activity	0.000
complement component C3b receptor activity	0.000
collectin receptor activity	0.000
complement component C4b receptor activity	0.000
complement component iC3b receptor activity	0.000
complement component C1q receptor activity	0.000
pentraxin binding	0.000
collectin binding	0.000
complement component C4b binding	0.000
complement component iC3b binding	0.000
complement component C3b binding	0.000
IgM receptor activity	0.000
low affinity IgM receptor activity	0.000
high affinity IgM receptor activity	0.000
polymeric immunoglobulin receptor activity	0.000
IgM binding	0.000
polymeric immunoglobulin binding	0.000
prostaglandin J receptor activity	0.000
beta-alanine transmembrane transporter activity	0.000
retinal dehydrogenase activity	0.000
prenylcysteine oxidase activity	0.000
mRNA (N6-adenosine)-methyltransferase activity	0.000
galactosylceramide sulfotransferase activity	0.000
ceramide kinase activity	0.000
L-amino-acid oxidase activity	0.000
pseudophosphatase activity	0.000
sialate O-acetylesterase activity	0.000
DNA topoisomerase (ATP-hydrolyzing) activator activity	0.000
alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity	0.000
neuropeptide receptor binding	0.000
tachykinin receptor binding	0.000
proctolin receptor binding	0.000
neuropeptide F receptor binding	0.000
corazonin receptor binding	0.000
beta-endorphin receptor binding	0.000
corticotropin-releasing hormone receptor binding	0.000
corticotropin-releasing hormone receptor 2 binding	0.000
corticotropin-releasing hormone receptor 1 binding	0.000
neuromedin U receptor binding	0.000
type 2 neuromedin U receptor binding	0.000
type 1 neuromedin U receptor binding	0.000
hypocretin receptor binding	0.000
type 2 hypocretin receptor binding	0.000
type 1 hypocretin receptor binding	0.000
vasoactive intestinal polypeptide receptor binding	0.000
type 2 vasoactive intestinal polypeptide receptor binding	0.000
type 1 vasoactive intestinal polypeptide receptor binding	0.000
somatostatin receptor binding	0.000
type 5 somatostatin receptor binding	0.000
type 4 somatostatin receptor binding	0.000
type 3 somatostatin receptor binding	0.000
type 2 somatostatin receptor binding	0.000
type 1 somatostatin receptor binding	0.000
prolactin-releasing peptide receptor binding	0.000
pituitary adenylate cyclase-activating polypeptide receptor binding	0.000
orexigenic neuropeptide QRFP receptor binding	0.000
neurotensin receptor binding	0.000
type 1 neurotensin receptor binding	0.000
neuropeptide Y receptor binding	0.000
type 5 neuropeptide Y receptor binding	0.000
type 4 neuropeptide Y receptor binding	0.000
type 2 neuropeptide Y receptor binding	0.000
type 1 neuropeptide Y receptor binding	0.000
neurokinin receptor binding	0.000
substance K receptor binding	0.000
neuromedin K receptor binding	0.000
substance P receptor binding	0.000
corticotropin hormone receptor binding	0.000
melanocortin receptor binding	0.000
type 1 melanocortin receptor binding	0.000
type 5 melanocortin receptor binding	0.000
type 4 melanocortin receptor binding	0.000
type 3 melanocortin receptor binding	0.000
melanin-concentrating hormone receptor binding	0.000
type 2 melanin-concentrating hormone receptor binding	0.000
type 1 melanin-concentrating hormone receptor binding	0.000
kisspeptin receptor binding	0.000
growth hormone-releasing hormone receptor binding	0.000
galanin receptor binding	0.000
type 3 galanin receptor binding	0.000
type 2 galanin receptor binding	0.000
type 1 galanin receptor binding	0.000
cholecystokinin receptor binding	0.000
type B gastrin/cholecystokinin receptor binding	0.000
type A cholecystokinin receptor binding	0.000
bombesin receptor binding	0.000
neuromedin B receptor binding	0.000
gastrin-releasing peptide receptor binding	0.000
endothelin B receptor binding	0.000
endothelin A receptor binding	0.000
subtype 3 bombesin receptor binding	0.000
apelin receptor binding	0.000
dopamine receptor binding	0.000
D5 dopamine receptor binding	0.000
D4 dopamine receptor binding	0.000
D3 dopamine receptor binding	0.000
D2 dopamine receptor binding	0.000
D1 dopamine receptor binding	0.000
CCR chemokine receptor binding	0.000
CCR11 chemokine receptor binding	0.000
CCR10 chemokine receptor binding	0.000
CCR9 chemokine receptor binding	0.000
CCR8 chemokine receptor binding	0.000
CCR7 chemokine receptor binding	0.000
CCR6 chemokine receptor binding	0.000
CCR5 chemokine receptor binding	0.000
CCR4 chemokine receptor binding	0.000
CCR3 chemokine receptor binding	0.000
CCR2 chemokine receptor binding	0.000
CCR1 chemokine receptor binding	0.000
CXCR chemokine receptor binding	0.000
CXCR3 chemokine receptor binding	0.000
CXCR6 chemokine receptor binding	0.000
CXCR5 chemokine receptor binding	0.000
CXCR4 chemokine receptor binding	0.000
interleukin-8 receptor binding	0.000
CXCR2 chemokine receptor binding	0.000
CXCR1 chemokine receptor binding	0.000
XCR1 chemokine receptor binding	0.000
G-protein coupled glutamate receptor binding	0.000
type 8 metabotropic glutamate receptor binding	0.000
type 7 metabotropic glutamate receptor binding	0.000
type 6 metabotropic glutamate receptor binding	0.000
type 5 metabotropic glutamate receptor binding	0.000
type 4 metabotropic glutamate receptor binding	0.000
type 3 metabotropic glutamate receptor binding	0.000
type 2 metabotropic glutamate receptor binding	0.000
type 1 metabotropic glutamate receptor binding	0.000
vasopressin receptor binding	0.000
V2 vasopressin receptor binding	0.000
V1B vasopressin receptor binding	0.000
V1A vasopressin receptor binding	0.000
urotensin receptor binding	0.000
taste receptor binding	0.000
type 1 member 3 taste receptor binding	0.000
type 1 member 2 taste receptor binding	0.000
type 1 member 1 taste receptor binding	0.000
secretin receptor binding	0.000
proteinase activated receptor binding	0.000
type 4 proteinase activated receptor binding	0.000
type 3 proteinase activated receptor binding	0.000
type 2 proteinase activated receptor binding	0.000
type 1 proteinase activated receptor binding	0.000
prostanoid receptor binding	0.000
thromboxane A2 receptor binding	0.000
prostacyclin receptor binding	0.000
prostaglandin F2-alpha receptor binding	0.000
EP4 subtype prostaglandin E2 receptor binding	0.000
EP3 subtype prostaglandin E2 receptor binding	0.000
EP2 subtype prostaglandin E2 receptor binding	0.000
EP1 subtype prostaglandin E2 receptor binding	0.000
prostaglandin D2 receptor binding	0.000
platelet activating factor receptor binding	0.000
parathyroid hormone receptor binding	0.000
type 1 parathyroid hormone receptor binding	0.000
oxytocin receptor binding	0.000
olfactory receptor binding	0.000
G-protein coupled serotonin receptor binding	0.000
type 7 serotonin receptor binding	0.000
type 6 serotonin receptor binding	0.000
type 5B serotonin receptor binding	0.000
type 5A serotonin receptor binding	0.000
type 4 serotonin receptor binding	0.000
type 2C serotonin receptor binding	0.000
type 2B serotonin receptor binding	0.000
type 2A serotonin receptor binding	0.000
type 1F serotonin receptor binding	0.000
type 1E serotonin receptor binding	0.000
type 1D serotonin receptor binding	0.000
type 1B serotonin receptor binding	0.000
G-protein coupled nucleotide receptor binding	0.000
P2Y11 nucleotide receptor binding	0.000
P2Y10 nucleotide receptor binding	0.000
P2Y9 nucleotide receptor binding	0.000
P2Y8 nucleotide receptor binding	0.000
P2Y6 nucleotide receptor binding	0.000
P2Y5 nucleotide receptor binding	0.000
P2Y4 nucleotide receptor binding	0.000
P2Y2 nucleotide receptor binding	0.000
P2Y1 nucleotide receptor binding	0.000
G-protein coupled histamine receptor binding	0.000
H4 histamine receptor binding	0.000
H3 histamine receptor binding	0.000
H2 histamine receptor binding	0.000
H1 histamine receptor binding	0.000
G-protein coupled GABA receptor binding	0.000
type 2 metabotropic GABA receptor binding	0.000
type 1 metabotropic GABA receptor binding	0.000
G-protein coupled acetylcholine receptor binding	0.000
motilin receptor binding	0.000
melatonin receptor binding	0.000
H9 melatonin receptor binding	0.000
type 1B melatonin receptor binding	0.000
type 1A melatonin receptor binding	0.000
lutropin-choriogonadotropic hormone receptor binding	0.000
leukotriene receptor binding	0.000
glucagon receptor binding	0.000
ghrelin receptor binding	0.000
gastric inhibitory polypeptide receptor binding	0.000
follicle-stimulating hormone receptor binding	0.000
fMet-Leu-Phe receptor binding	0.000
endothelial differentiation G-protein coupled receptor binding	0.000
Edg-7 lysophosphatidic acid receptor binding	0.000
Edg-6 sphingosine 1-phosphate receptor binding	0.000
Edg-5 sphingosine 1-phosphate receptor binding	0.000
Edg-4 lysophosphatidic acid receptor binding	0.000
Edg-3 sphingosine 1-phosphate receptor binding	0.000
Edg-2 lysophosphatidic acid receptor binding	0.000
Edg-1 sphingosine 1-phosphate receptor binding	0.000
cysteinyl leukotriene receptor binding	0.000
type 2 cysteinyl leukotriene receptor binding	0.000
type 1 cysteinyl leukotriene receptor binding	0.000
CX3C chemokine receptor binding	0.000
cannabinoid receptor binding	0.000
type 2 cannabinoid receptor binding	0.000
type 1 cannabinoid receptor binding	0.000
calcitonin receptor binding	0.000
C5a anaphylatoxin chemotactic receptor binding	0.000
C5L2 anaphylatoxin chemotactic receptor binding	0.000
B2 bradykinin receptor binding	0.000
B1 bradykinin receptor binding	0.000
bradykinin receptor binding	0.000
angiotensin receptor binding	0.000
type 2 angiotensin receptor binding	0.000
type 1 angiotensin receptor binding	0.000
adrenomedullin receptor binding	0.000
beta-2 adrenergic receptor binding	0.000
beta-1 adrenergic receptor binding	0.000
alpha-2C adrenergic receptor binding	0.000
alpha-2B adrenergic receptor binding	0.000
